aX,aY,aZ,gX,gY,gZ
-0.308,0.371,-1.797,45.166,-411.011,-197.815
-0.212,0.115,-1.122,-18.677,-418.457,-210.937
-0.215,0.024,-0.853,-121.460,-424.377,-218.445
-0.195,-0.074,-0.387,-129.639,-410.156,-218.750
-0.177,-0.087,-0.195,-132.385,-374.451,-210.876
-0.123,-0.093,0.113,-126.648,-354.309,-199.463
-0.058,-0.088,0.244,-95.764,-310.974,-167.053
0.101,-0.081,0.481,-75.989,-290.161,-150.391
0.131,-0.086,0.576,-56.152,-271.667,-135.803
0.092,-0.156,0.681,-36.194,-241.699,-116.272
